rank,channel_id,channel_name
1,UChBQgieUidXV1CmDxSdRm3g,Citizen TV Kenya
2,UCa2gldA2ivhzMwIJRA5683w,Lynn Ngugi
3,UCl6ICaB9meBcSMQ5Zmr446g,Tuko / Tuco - Kenya
4,UC4QYAvoLTyE58CoqmmgqnDQ,Ridhwan Issack
5,UCJvhxJf8-Bne99uzuQpFIpg,Dr. King'ori
6,UC_9xRXWjRrz_Jy7SWhUnBBw,Obinna TV Extra
7,UCMD-JmezXoQiV9PiWLwVpGQ,Presenter Ali
8,UCZ6r5PvXtieU9L0B2vh_ekg,Kenya Diaspora Media USA
9,UCZD5OZHEyYG60lF8SBh_JVQ,Dee Mwango
10,UCSYUI0C0gG-Kp03GBaO2G9Q,Financial Faiz
11,UChQXn6sL9ENIpA74qqPG1HA,3MenArmy Kenya
12,UCEMsE6ZgO2sYnFBGxQK9vPA,Zabe
13,UC5h4-WH0LAV4CWs380yM33A,Iko Nini Podcast
14,UCD-Mf4F5ZQ1Jw-nb2gqD1mw,Engage Talk
15,UCAvd919a1ibeG5cp5QtwXOw,Shared Moments with Justus
16,UC6fVFxrbf0HDRW3B2mdWFGA,TMI Podcast KE
17,UCE3KVkSH1GwUtAAMcVcJ3QQ,UpSyd Digital Networks
18,UCCjULCQvh2cQQLzYe4DC2Nw,The Joy Ride
19,UCM0AhEzSsjf61sJntWDxcEg,The Dating Stories
20,UCmBQsChFjOTcqv7D6sT8dPw,ManTalk Ke
21,UCq9K26KI96tZEQrSomHSjqg,Simy Kenya TV
22,UCEYqAce8R78wNRAkb8wIuVQ,The Sandwich Podcast KE
23,UCwvnwnFeawExcT6cxOXOJxA,Rawder Kidula Show
24,UC6AkSvREU3xfhyd2eVi_0vA,Stephanie Ng’ang’a
