rank,channel_id,channel_name,channel_url,subscribers,video_count,country,classification,latest_video_id,latest_video_title,latest_video_thumbnail,latest_video_published_at,latest_video_duration_sec,generated_at_utc
1,UChBQgieUidXV1CmDxSdRm3g,Citizen TV Kenya,https://www.youtube.com/channel/UChBQgieUidXV1CmDxSdRm3g,6020000,203577,KE,other,SKK4DWfLFLo,"The Explainer News ~ Sep 23, 2025",https://i.ytimg.com/vi/SKK4DWfLFLo/mqdefault.jpg,2025-09-23T19:38:16Z,5131,2025-09-24T02:21:24Z
2,UCKVsdeoHExltrWMuK0hOWmg,KTN News Kenya,https://www.youtube.com/channel/UCKVsdeoHExltrWMuK0hOWmg,3210000,175452,KE,other,W4r59h7mius,"Power, Politics and Governance",https://i.ytimg.com/vi/W4r59h7mius/mqdefault.jpg,2025-09-23T20:00:56Z,2955,2025-09-24T02:21:24Z
3,UCqBJ47FjJcl61fmSbcadAVg,NTV Kenya,https://www.youtube.com/channel/UCqBJ47FjJcl61fmSbcadAVg,2940000,113058,KE,other,RcaUhbHoDVo,The Last Word | Is SHA the solution for Kenya’s healthcare challenges?,https://i.ytimg.com/vi/RcaUhbHoDVo/mqdefault.jpg,2025-09-23T20:37:06Z,4819,2025-09-24T02:21:24Z
4,UCa2gldA2ivhzMwIJRA5683w,Lynn Ngugi,https://www.youtube.com/channel/UCa2gldA2ivhzMwIJRA5683w,1400000,530,KE,other,XJ5fUBrgyoQ,Exposed: How Europe Uses Africa as a Dumping Ground for Harmful Pesticides & Fertilizers,https://i.ytimg.com/vi/XJ5fUBrgyoQ/mqdefault.jpg,2025-09-23T08:00:41Z,2921,2025-09-24T02:21:24Z
5,UCl6ICaB9meBcSMQ5Zmr446g,Tuko / Tuco - Kenya,https://www.youtube.com/channel/UCl6ICaB9meBcSMQ5Zmr446g,1180000,2008,KE,other,7aMyGUySGfc,I am never reconciling with my toxic parents; I chose marriage over them| Tuko TV,https://i.ytimg.com/vi/7aMyGUySGfc/mqdefault.jpg,2025-09-19T07:03:55Z,5226,2025-09-24T02:21:24Z
6,UC4QYAvoLTyE58CoqmmgqnDQ,Ridhwan Issack,https://www.youtube.com/channel/UC4QYAvoLTyE58CoqmmgqnDQ,1110000,704,KE,other,OchakZMydsE,"SUNA TIKTOK LIVE KUCABA TIRI, DHEGDHEGA XIRATAY, TIMAHA DABATAY MA DRAMA JECEL KATAHAY?",https://i.ytimg.com/vi/OchakZMydsE/mqdefault.jpg,2025-09-23T15:29:57Z,3211,2025-09-24T02:21:24Z
7,UCe68ABxGwMZO3J8y_gerZ6A,Obinna TV,https://www.youtube.com/channel/UCe68ABxGwMZO3J8y_gerZ6A,738000,1631,KE,other,x_M7Fho8-KA,EP 7: RAY BONN | Pop the Balloon Or Find Love | With Oga Obinna ,https://i.ytimg.com/vi/x_M7Fho8-KA/mqdefault.jpg,2025-09-19T08:30:06Z,1114,2025-09-24T02:21:24Z
8,UCJvhxJf8-Bne99uzuQpFIpg,Dr. King'ori,https://www.youtube.com/channel/UCJvhxJf8-Bne99uzuQpFIpg,678000,1098,KE,other,WKjmK3z-Bvk,Rose Muhando Money Mistakes & Lessons,https://i.ytimg.com/vi/WKjmK3z-Bvk/mqdefault.jpg,2025-09-21T11:00:55Z,6954,2025-09-24T02:21:24Z
9,UCUhrpGr_luwUzVaxiW5Jkhw,Switch TV,https://www.youtube.com/channel/UCUhrpGr_luwUzVaxiW5Jkhw,667000,8089,KE,other,diw2KEC4-y4,"President Ruto: If we are sending a security team, the mandate must be clear",https://i.ytimg.com/vi/diw2KEC4-y4/mqdefault.jpg,2025-09-22T15:48:24Z,317,2025-09-24T02:21:24Z
10,UC_9xRXWjRrz_Jy7SWhUnBBw,Obinna TV Extra,https://www.youtube.com/channel/UC_9xRXWjRrz_Jy7SWhUnBBw,592000,1691,KE,other,EZFnI56Hg00,Obinna Show Live: The Day That Changed Marya’s Life ,https://i.ytimg.com/vi/EZFnI56Hg00/mqdefault.jpg,2025-09-23T15:00:06Z,1046,2025-09-24T02:21:24Z
11,UCMD-JmezXoQiV9PiWLwVpGQ,Presenter Ali,https://www.youtube.com/channel/UCMD-JmezXoQiV9PiWLwVpGQ,502000,1929,KE,other,qnN2m1WXiFk,SELF MADE FOREX TRADER! HOW I BECAME A SUCCESSFUL FOREX TRADER- MISS GLOW FX,https://i.ytimg.com/vi/qnN2m1WXiFk/mqdefault.jpg,2025-09-19T10:21:46Z,1898,2025-09-24T02:21:24Z
12,UCZ6r5PvXtieU9L0B2vh_ekg,Kenya Diaspora Media USA,https://www.youtube.com/channel/UCZ6r5PvXtieU9L0B2vh_ekg,493000,4882,US,other,9a_b0QtAEn4,"I WAS WELL KNOWN IN CONDUCTING ABORTION, SELLING SNAKES AND LEOPARD SKIN, GEMSTONE & MERCURY",https://i.ytimg.com/vi/9a_b0QtAEn4/mqdefault.jpg,2025-09-23T18:42:11Z,3497,2025-09-24T02:21:24Z
13,UCZD5OZHEyYG60lF8SBh_JVQ,Dee Mwango,https://www.youtube.com/channel/UCZD5OZHEyYG60lF8SBh_JVQ,464000,1252,GB,other,TWM4TqlBmG4,OUTDOOR WATERFALL COOKING WITH A JAMAICAN TANZANIAN RASTA,https://i.ytimg.com/vi/TWM4TqlBmG4/mqdefault.jpg,2025-09-23T19:51:36Z,5124,2025-09-24T02:21:24Z
14,UCOsHyjujol57SIFR0imyEKQ,Radio Jambo KENYA,https://www.youtube.com/channel/UCOsHyjujol57SIFR0imyEKQ,463000,5531,KE,other,IJY_LxnW5QI,Gidi Na Ghost Asubuhi - Africa's Biggest Swahili Breakfast Show,https://i.ytimg.com/vi/IJY_LxnW5QI/mqdefault_live.jpg,2025-09-24T01:27:12Z,,2025-09-24T02:21:24Z
